antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'2023', 'WA'})",frozenset({'Eligibility unknown as battery range has not been researched'}),0.28532816879291556,0.5645892715238091,0.24873543309334717,0.8717521096694574,1.5440465372581826,1.0,0.08764221012933252,3.395071274497967,0.49302506609247077,0.4137439745446774,0.7054553736437033,0.6561560403381885
"frozenset({'2023', 'WA'})",frozenset({'Battery Electric Vehicle BEV'}),0.28532816879291556,0.7877430990097597,0.24873543309334717,0.8717521096694574,1.1066451877081527,1.0,0.023970137173636052,1.6550517941712346,0.1348423145290153,0.301740410425145,0.395789301868496,0.5937545772908585
"frozenset({'2023', 'WA'})","frozenset({'Eligibility unknown as battery range has not been researched', 'Battery Electric Vehicle BEV'})",0.28532816879291556,0.5645892715238091,0.24873543309334717,0.8717521096694574,1.5440465372581826,1.0,0.08764221012933252,3.395071274497967,0.49302506609247077,0.4137439745446774,0.7054553736437033,0.6561560403381885
frozenset({'2023'}),"frozenset({'Eligibility unknown as battery range has not been researched', 'Battery Electric Vehicle BEV'})",0.28583256801062096,0.5645892715238091,0.24916369658007814,0.8717120596657122,1.5439756007282748,1.0,0.08778569522918203,3.3940113727105934,0.49333161301663736,0.41440386213446234,0.7053633915194103,0.6565152852838081
frozenset({'2023'}),frozenset({'Battery Electric Vehicle BEV'}),0.28583256801062096,0.7877430990097597,0.24916369658007814,0.8717120596657122,1.1065943462551515,1.0,0.024001063657473676,1.6545351062395217,0.13487941762430136,0.30223202174879216,0.39560061540620267,0.5940063817009282
frozenset({'2023'}),frozenset({'Eligibility unknown as battery range has not been researched'}),0.28583256801062096,0.5645892715238091,0.24916369658007814,0.8717120596657122,1.5439756007282748,1.0,0.08778569522918203,3.3940113727105934,0.49333161301663736,0.41440386213446234,0.7053633915194103,0.6565152852838081
frozenset({'2023'}),"frozenset({'Eligibility unknown as battery range has not been researched', 'Battery Electric Vehicle BEV', 'WA'})",0.28583256801062096,0.5635424052229111,0.24873543309334717,0.8702137577412266,1.54418505098478,1.0,0.08765666022560051,3.3628956904912988,0.49345462320358635,0.41411764705882353,0.7026372233823566,0.655796068173909
frozenset({'2023'}),"frozenset({'Eligibility unknown as battery range has not been researched', 'WA'})",0.28583256801062096,0.5635424052229111,0.24873543309334717,0.8702137577412266,1.54418505098478,1.0,0.08765666022560051,3.3628956904912988,0.49345462320358635,0.41411764705882353,0.7026372233823566,0.655796068173909
frozenset({'2023'}),"frozenset({'Battery Electric Vehicle BEV', 'WA'})",0.28583256801062096,0.7862679692221307,0.24873543309334717,0.8702137577412266,1.106764858553433,1.0,0.02399444030608966,1.646800362335178,0.13507436251563285,0.30209615618010643,0.3927618533056485,0.593281599722733
"frozenset({'King', 'WA'})",frozenset({'Battery Electric Vehicle BEV'}),0.5097001679744565,0.7877430990097597,0.41285075969184065,0.8099874899639636,1.0282381286261555,1.0,0.011337969805847226,1.1170680338362207,0.056011920476259656,0.4667129285952512,0.10479937684205966,0.6670403184212279
frozenset({'King'}),frozenset({'Battery Electric Vehicle BEV'}),0.5097001679744565,0.7877430990097597,0.41285075969184065,0.8099874899639636,1.0282381286261555,1.0,0.011337969805847226,1.1170680338362207,0.056011920476259656,0.4667129285952512,0.10479937684205966,0.6670403184212279
frozenset({'King'}),"frozenset({'Battery Electric Vehicle BEV', 'WA'})",0.5097001679744565,0.7862679692221307,0.41285075969184065,0.8099874899639636,1.0301672224614453,1.0,0.012089843706385828,1.1248313636682892,0.05972633336025097,0.46749251029161376,0.11097784761369957,0.6675319481471709
frozenset({'WA'}),frozenset({'Battery Electric Vehicle BEV'}),0.9979395767805055,0.7877430990097597,0.7862679692221307,0.7878913588723905,1.0001882083928342,1.0,0.0001479543845672726,1.0006989807762787,0.09132734251880516,0.7867284362085055,0.0006984925434184169,0.8930093781283936
"frozenset({'Battery Electric Vehicle BEV', 'King'})","frozenset({'Eligibility unknown as battery range has not been researched', 'WA'})",0.41285075969184065,0.5635424052229111,0.2993323848090183,0.7250377473749726,1.2865717657718792,1.0,0.06667347469417234,1.5873364093081408,0.37935942638505327,0.44210563306040707,0.37001382055120774,0.6280999391359829
"frozenset({'Battery Electric Vehicle BEV', 'King', 'WA'})",frozenset({'Eligibility unknown as battery range has not been researched'}),0.41285075969184065,0.5645892715238091,0.2993323848090183,0.7250377473749726,1.2841861932978607,1.0,0.06624127514655082,1.5835291001560527,0.376900292925733,0.4414231079611243,0.36849913279051677,0.6276074964318836
"frozenset({'Battery Electric Vehicle BEV', 'King'})",frozenset({'Eligibility unknown as battery range has not been researched'}),0.41285075969184065,0.5645892715238091,0.2993323848090183,0.7250377473749726,1.2841861932978607,1.0,0.06624127514655082,1.5835291001560527,0.376900292925733,0.4414231079611243,0.36849913279051677,0.6276074964318836
"frozenset({'TESLA', 'Battery Electric Vehicle BEV', 'WA'})",frozenset({'Eligibility unknown as battery range has not been researched'}),0.4337738102602414,0.5645892715238091,0.314473878306551,0.7249720265911933,1.284069788705896,1.0,0.06956983876561429,1.5831506994708073,0.39070274917823417,0.45983161703312,0.3683481930467734,0.6409839357391065
"frozenset({'TESLA', 'WA'})",frozenset({'Eligibility unknown as battery range has not been researched'}),0.4337738102602414,0.5645892715238091,0.314473878306551,0.7249720265911933,1.284069788705896,1.0,0.06956983876561429,1.5831506994708073,0.39070274917823417,0.45983161703312,0.3683481930467734,0.6409839357391065
"frozenset({'TESLA', 'WA'})","frozenset({'Eligibility unknown as battery range has not been researched', 'Battery Electric Vehicle BEV'})",0.4337738102602414,0.5645892715238091,0.314473878306551,0.7249720265911933,1.284069788705896,1.0,0.06956983876561429,1.5831506994708073,0.39070274917823417,0.45983161703312,0.3683481930467734,0.6409839357391065
"frozenset({'TESLA', 'Battery Electric Vehicle BEV'})",frozenset({'Eligibility unknown as battery range has not been researched'}),0.4347873671788381,0.5645892715238091,0.31514958291894873,0.7248361077365904,1.2838290493552595,1.0,0.06967330001569363,1.5823686926894454,0.39114500113009526,0.46059210938097644,0.3680360306545452,0.6415143800067371
frozenset({'TESLA'}),"frozenset({'Eligibility unknown as battery range has not been researched', 'Battery Electric Vehicle BEV'})",0.4347873671788381,0.5645892715238091,0.31514958291894873,0.7248361077365904,1.2838290493552595,1.0,0.06967330001569363,1.5823686926894454,0.39114500113009526,0.46059210938097644,0.3680360306545452,0.6415143800067371
frozenset({'TESLA'}),frozenset({'Eligibility unknown as battery range has not been researched'}),0.4347873671788381,0.5645892715238091,0.31514958291894873,0.7248361077365904,1.2838290493552595,1.0,0.06967330001569363,1.5823686926894454,0.39114500113009526,0.46059210938097644,0.3680360306545452,0.6415143800067371
"frozenset({'TESLA', 'Battery Electric Vehicle BEV'})","frozenset({'Eligibility unknown as battery range has not been researched', 'WA'})",0.4347873671788381,0.5635424052229111,0.314473878306551,0.72328200413698,1.2834562180833282,1.0,0.06945275964605158,1.5772649459095627,0.3907446765877834,0.45985401459854014,0.36599110847332683,0.6406562770433695
frozenset({'TESLA'}),"frozenset({'Eligibility unknown as battery range has not been researched', 'Battery Electric Vehicle BEV', 'WA'})",0.4347873671788381,0.5635424052229111,0.314473878306551,0.72328200413698,1.2834562180833282,1.0,0.06945275964605158,1.5772649459095627,0.3907446765877834,0.45985401459854014,0.36599110847332683,0.6406562770433695
frozenset({'TESLA'}),"frozenset({'Eligibility unknown as battery range has not been researched', 'WA'})",0.4347873671788381,0.5635424052229111,0.314473878306551,0.72328200413698,1.2834562180833282,1.0,0.06945275964605158,1.5772649459095627,0.3907446765877834,0.45985401459854014,0.36599110847332683,0.6406562770433695
"frozenset({'Battery Electric Vehicle BEV', 'WA'})",frozenset({'Eligibility unknown as battery range has not been researched'}),0.7862679692221307,0.5645892715238091,0.5635424052229111,0.7167307168578085,1.2694727884633272,1.0,0.11962394525728354,1.5370912216331964,0.9931661476667156,0.7157777039074068,0.3494205249982002,0.8574382541128123
frozenset({'Battery Electric Vehicle BEV'}),frozenset({'Eligibility unknown as battery range has not been researched'}),0.7877430990097597,0.5645892715238091,0.5645892715238091,0.716717508834456,1.2694493944244767,1.0,0.11983796910598105,1.5370195548786898,1.0,0.716717508834456,0.3493901903681859,0.858358754417228
frozenset({'Battery Electric Vehicle BEV'}),"frozenset({'Eligibility unknown as battery range has not been researched', 'WA'})",0.7877430990097597,0.5635424052229111,0.5635424052229111,0.7153885650427375,1.2694493944244767,1.0,0.1196157645092013,1.5335209382666855,0.9999999999999999,0.7153885650427375,0.34790587135361567,0.8576942825213687
